Reference code,Latitude,Longitude,"Date ""Before Present""",Standard error,Chronocultural attribution,Associated materials,Country,Site name,Associated publications,Clear LSA,Associated Lithics
Gif-4281,12.2,14.6833,2340,100,Ancient Iron Age,"Ceramics, ",Cameroon,Sou Blame Radjil,"1985 - Recent Archaeological Research and Dates from Central Africa - The Journal of African History, 26: 129-148.",NA,NA
Hv-12614,-0.8182,19.7888,2665,110,Neolithic,"Ceramics, ",DRC,Imbonga,"1987 - Imbonga and Batalimo : ceramic evidence for early settlement of the equatorial rain forest - The African Archaoelogical Review, 5: 129-145",NA,NA
Hv-12207,-0.8182,19.7888,2860,280,Neolithic,"Ceramics, ",DRC,Imbonga,"1985 - Recent Archaeological Research and Dates from Central Africa - The Journal of African History, 26: 129-148",NA,NA
Hv-11576,-0.8182,19.7888,2900,285,Neolithic,"Ceramics, ",DRC,Imbonga,"1985 - Recent Archaeological Research and Dates from Central Africa - The Journal of African History, 26: 129-148",NA,NA
Hv-12627,-0.25,19.5167,3485,220,Neolithic,"Ceramics, ",DRC,Bokuma,"1987 - Imbonga and Batalimo : ceramic evidence for early settlement of the equatorial rain forest - The African Archaoelogical Review, 5: 129-145",NA,NA
Gif-7526,-0.0667,11.1167,0,,Recent Iron Age,"Ceramics,  Stone with acorns, Coal",Gabon,Otoumbi 10,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-61583,11.1,14.2,0,,Recent Iron Age,"Ceramics, Coal",Cameroon,Pmw 602 (Manaouatchi-Grea),"1998 - Preliminary results of research by the Projet Maya-Wandala - in: Delneuf M., Essomba J.-M., Froment A. (ed.), ''Paléo-anthropologie en Afrique centrale. Un bilan de l'archéologie au Cameroun'' L'Harmattan, Paris, 293-300.",NA,NA
Beta-61584,11.1,14.2,150,50,Recent Iron Age,"Ceramics, Coal",Cameroon,Pmw 602 (Manaouatchi-Grea),"1998 - Preliminary results of research by the Projet Maya-Wandala - in: Delneuf M., Essomba J.-M., Froment A. (ed.), ''Paléo-anthropologie en Afrique centrale. Un bilan de l'archéologie au Cameroun'' L'Harmattan, Paris, 293-300.",NA,NA
Beta-245121,3.9956,9.8192,190,40,Recent Iron Age,"Ceramics, Coal",Cameroon,Dibamba Yassa,"2008 - Etude Archéologique du site de Dibamba., Rapport final KPDC/AES Sonel",NA,NA
Beta-245110,3.9956,9.8192,260,50,Recent Iron Age,"Ceramics, Coal",Cameroon,Dibamba Yassa,,NA,NA
OBDY-1107,3.7917,10.0194,280,40,Recent Iron Age,"Ceramics, Coal",Cameroon,Ossa Big Island,"1998 - Lake Ossa: A new Iron Age site in the Cameroonian littoral province - Nyame Akuma, 49:16-26.",NA,NA
Ly-5202,4,11,475,50,Recent Iron Age,"Ceramics, Coal",Cameroon,Elig-Kono,"1998 - Recherches archéologiques au Cameroun méridional: résultats des prospections et hypothèses sur les phases de peuplement - In: Delneuf M., Essomba J.-M., Froment A., ed., Paléo-anthropologie en Afrique centrale. Un bilan de l'archéologie au Cameroun, L'Harmattan, p. 213-224.",NA,NA
Ly-5201,4,11,495,40,Recent Iron Age,"Ceramics, Coal",Cameroon,Elig-Kono,"1998 - Recherches archéologiques au Cameroun méridional: résultats des prospections et hypothèses sur les phases de peuplement - In: Delneuf M., Essomba J.-M., Froment A., ed., Paléo-anthropologie en Afrique centrale. Un bilan de l'archéologie au Cameroun, L'Harmattan, p. 213-224.",NA,NA
Beta-245117,3.9956,9.8192,520,30,Recent Iron Age,"Ceramics, Coal",Cameroon,Dibamba Yassa,"2008 - Etude Archéologique du site de Dibamba., Rapport final KPDC/AES Sonel",NA,NA
Beta-245109,3.9956,9.8192,730,40,Recent Iron Age,"Ceramics, Coal",Cameroon,Dibamba Yassa,,NA,NA
Beta-245118,3.9956,9.8192,790,50,Recent Iron Age,"Ceramics, Coal",Cameroon,Dibamba Yassa,"2008 - Etude Archéologique du site de Dibamba., Rapport final KPDC/AES Sonel",NA,NA
Beta-245112,3.9956,9.8192,920,50,Recent Iron Age,"Ceramics, Coal",Cameroon,Dibamba Yassa,,NA,NA
Gif-6182,-8.95,13.1833,1120,60,Recent Iron Age,"Ceramics, Coal",Angola,Benfica Kamabanga I,"1990 - Paysages quaternaires de l'Afrique centrale atlantique - ORSTOM ed., Paris.",NA,NA
Beta-165712,2.7889,9.8894,1280,70,Ancient Iron Age,"Ceramics, Coal",Cameroon,Eboundja 3,"2002 - Inventaire des sites archéologiques de Kribi à Campo: étude préliminaire des sites Malongo 1, Nlendé-Dibé et Boussibiliga - Mémoire de Maîtrise, Université de Yaoundé 1.",NA,NA
KIA-24735,2.8967,9.9058,1460,25,Ancient Iron Age,"Ceramics, Coal",Cameroon,Kribi,"2004 - The Bantu Problem and African Archaeology - In: Stahl A., ed., African Archaeology: A Critical Introduction, Blackwell Studies in Global Archaeology, Blackwell Publishing, London, p. 301-326.",NA,NA
KIA-24738,2.8931,9.9056,1485,29,Ancient Iron Age,"Ceramics, Coal",Cameroon,Bwambé Beach,"2004 - The Bantu Problem and African Archaeology - In: Stahl A., ed., African Archaeology: A Critical Introduction, Blackwell Studies in Global Archaeology, Blackwell Publishing, London, p. 301-326.",NA,NA
KIA-24734,2.8967,9.9058,1514,21,Ancient Iron Age,"Ceramics, Coal",Cameroon,Kribi,"2004 - The Bantu Problem and African Archaeology - In: Stahl A., ed., African Archaeology: A Critical Introduction, Blackwell Studies in Global Archaeology, Blackwell Publishing, London, p. 301-326.",NA,NA
KIA-24731,2.8931,9.9056,1610,26,Ancient Iron Age,"Ceramics, Coal",Cameroon,Bwambé Beach,"2004 - The Bantu Problem and African Archaeology - In: Stahl A., ed., African Archaeology: A Critical Introduction, Blackwell Studies in Global Archaeology, Blackwell Publishing, London, p. 301-326.",NA,NA
Gif-11345,-0.1278,11.5889,1620,55,Ancient Iron Age,"Ceramics, Coal",Gabon,Okanda 5,"2001 - Archéologie du peuplement Holocène de la réserve de faune de la Lopé - Gabon, Thèse de Doctorat, Université Libre de Bruxelles.",NA,NA
KIA-27026,2.4678,11.1678,1692,29,Ancient Iron Age,"Ceramics, Coal",Cameroon,Akonétye,"2008 - On the Early Iron Age in Southern Cameroon: the sites of Akonetye - Journal of African Archaeology, 6 (2): 183-202.",NA,NA
Beta-61586,11.1,14.2,1700,90,Ancient Iron Age,"Ceramics, Coal",Cameroon,Pmw 602 (Manaouatchi-Grea),"1998 - Preliminary results of research by the Projet Maya-Wandala - in: Delneuf M., Essomba J.-M., Froment A. (ed.), ''Paléo-anthropologie en Afrique centrale. Un bilan de l'archéologie au Cameroun'' L'Harmattan, Paris, 293-300.",NA,NA
KIA-24732,2.8967,9.9058,1736,28,Ancient Iron Age,"Ceramics, Coal",Cameroon,Kribi,"2004 - The Bantu Problem and African Archaeology - In: Stahl A., ed., African Archaeology: A Critical Introduction, Blackwell Studies in Global Archaeology, Blackwell Publishing, London, p. 301-326.",NA,NA
KIA-24733,2.8967,9.9058,1760,24,Ancient Iron Age,"Ceramics, Coal",Cameroon,Kribi,"2004 - The Bantu Problem and African Archaeology - In: Stahl A., ed., African Archaeology: A Critical Introduction, Blackwell Studies in Global Archaeology, Blackwell Publishing, London, p. 301-326.",NA,NA
Erl-12257,3.5824,13.1238,1761,38,Ancient Iron Age,"Ceramics, Coal",Cameroon,Mampang Mpg 08/6,"2009 - Preliminary report on the excavations at Bagofit and Mampang, East Province, Cameroon - Nyame Akuma, 72: 67-73.",NA,NA
KIA-27032,2.4678,11.1678,1771,30,Ancient Iron Age,"Ceramics, Coal",Cameroon,Akonétye,"2008 - On the Early Iron Age in Southern Cameroon: the sites of Akonetye - Journal of African Archaeology, 6 (2): 183-202.",NA,NA
KIA-8457,3.6428,9.7994,1783,33,Ancient Iron Age,"Ceramics, Coal",Cameroon,Mouanko-Epolo,"2010 - Remarks on Early Iron Age Burial Sites from Southern Cameroon - African Archaeological Review, 27: 237-249.",NA,NA
Beta-146661,2.9333,9.9042,1820,80,Ancient Iron Age,"Ceramics, Coal",Cameroon,Kribi Hotel,"2002 - Inventaire des sites archéologiques de Kribi à Campo: étude préliminaire des sites Malongo 1, Nlendé-Dibé et Boussibiliga - Mémoire de Maîtrise, Université de Yaoundé 1.",NA,NA
Beta-156384,2.3775,9.8311,1830,30,Ancient Iron Age,"Ceramics, Coal",Cameroon,Campo 1,"2002 - Inventaire des sites archéologiques de Kribi à Campo: étude préliminaire des sites Malongo 1, Nlendé-Dibé et Boussibiliga - Mémoire de Maîtrise, Université de Yaoundé 1.",NA,NA
Beta-156388,2.7608,9.8806,1900,50,Ancient Iron Age,"Ceramics, Coal",Cameroon,Nlendé-Dibé 3,"2002 - Inventaire des sites archéologiques de Kribi à Campo: étude préliminaire des sites Malongo 1, Nlendé-Dibé et Boussibiliga - Mémoire de Maîtrise, Université de Yaoundé 1.",NA,NA
OBDY-1187,10.51,14.28,1910,100,Ancient Iron Age,"Ceramics, Coal",Cameroon,Bibalé Tchuin,"1998 - Recherches archéologiques sur le peuplement post-Néolithique du Diamaré - in: Delneuf M., Essomba J.-M., Froment A. (ed.), ''Paléo-anthropologie en Afrique centrale. Un bilan de l'archéologie au Cameroun'' L'Harmattan, Paris, 269-283.",NA,NA
Oxa-7603,-0.1278,11.5889,1980,35,Ancient Iron Age,"Ceramics, Coal",Gabon,Okanda 5,"2001 - Archéologie du peuplement Holocène de la réserve de faune de la Lopé - Gabon, Thèse de Doctorat, Université Libre de Bruxelles.",NA,NA
Beta-143018,2.3775,9.8311,2000,70,Ancient Iron Age,"Ceramics, Coal",Cameroon,Campo 1,"2002 - Inventaire des sites archéologiques de Kribi à Campo: étude préliminaire des sites Malongo 1, Nlendé-Dibé et Boussibiliga - Mémoire de Maîtrise, Université de Yaoundé 1.",NA,NA
Hv-6257,-5.2833,14.8667,2040,130,Neolithic,"Ceramics, Coal",DRC,Dimba,"1986 - The Ngovo group: an industry with polished stone tools and pottery in lower Zaïre - The African Archaeological Review, 4: 103-133.",NA,NA
KIA-24741,2.8,11.3,2054,19,Ancient Iron Age,"Ceramics, Coal",Cameroon,Kpwé Monekpwé,"2004 - The Bantu Problem and African Archaeology - In: Stahl A., ed., African Archaeology: A Critical Introduction, Blackwell Studies in Global Archaeology, Blackwell Publishing, London, p. 301-326.",NA,NA
KIA-24736,2.8967,9.9058,2146,31,Ancient Iron Age,"Ceramics, Coal",Cameroon,Kribi,"2004 - The Bantu Problem and African Archaeology - In: Stahl A., ed., African Archaeology: A Critical Introduction, Blackwell Studies in Global Archaeology, Blackwell Publishing, London, p. 301-326.",NA,NA
KIA-27036,2.8967,9.9058,2206,31,Neolithic,"Ceramics, Coal",Cameroon,Bwambé Sommet,2013 - Les traditions céramiques dans leur contexte archéologique sur le littoral camerounais (Kribi-Campo) de 3000 a 500 BP. - Thèse de Doctorat : Université Libre de Bruxelles.,NA,NA
KIA-24740,2.8,11.3,2210,26,Ancient Iron Age,"Ceramics, Coal",Cameroon,Kpwé Monekpwé,"2004 - The Bantu Problem and African Archaeology - In: Stahl A., ed., African Archaeology: A Critical Introduction, Blackwell Studies in Global Archaeology, Blackwell Publishing, London, p. 301-326.",NA,NA
KIA-24737,2.8967,9.9058,2215,32,Ancient Iron Age,"Ceramics, Coal",Cameroon,Kribi,"2004 - The Bantu Problem and African Archaeology - In: Stahl A., ed., African Archaeology: A Critical Introduction, Blackwell Studies in Global Archaeology, Blackwell Publishing, London, p. 301-326.",NA,NA
Arc-339,-0.074,11.352,2310,60,Neolithic,"Ceramics, Coal",Gabon,Mont Brazza,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
BM-2426,6.0502,10.2035,2770,120,Neolithic,"Ceramics, Coal",Cameroon,Mbi Crater,"1998 - Ten years of archaeological research in the Bamenda Grassfields - in: Delneuf M., Essomba J.-M., Froment A. (ed.), Paléo-anthropologie en Afrique centrale. Un bilan de l'archéologie au Cameroun, L'Harmattan, Paris, 193-202",NA,NA
Gif-11346,-0.1278,11.5889,5535,90,Ancient Iron Age,"Ceramics, Coal",Gabon,Okanda 5,"2001 - Archéologie du peuplement Holocène de la réserve de faune de la Lopé - Gabon, Thèse de Doctorat, Université Libre de Bruxelles",NA,NA
Gif-9377,0.6,9.333,2290,50,Neolithic,"Ceramics, Coal from wood, Burnt ground, Coal",Gabon,Route Du Cap Estérias,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-15066,-0.0692,11.1228,1980,80,Ancient Iron Age,"Ceramics, Coal,
Iron Metallurgy, Coal",Gabon,Otoumbi 4,"1993 - Préhistoire de la moyenne vallée de l'Ogooué (Gabon) - TDM, 96, Paris éd. De l'ORSTOM.",NA,NA
Beta-46139,-1.4052,10.0713,2160,70,Neolithic,"Ceramics, Coal, ",Gabon,Ofoubou 16,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Gif-6425,-0.1083,11.7333,0,,Recent Iron Age,"Ceramics, Coal, Coal",Gabon,Obaka 4,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia",NA,NA
Gif-6759,-1.7,13.63,200,100,Recent Iron Age,"Ceramics, Coal, Coal",Gabon,Plateau De Mpassa,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-15064,-0.1578,11.6111,660,80,Recent Iron Age,"Ceramics, Coal, Coal",Gabon,Lopé 5,"1988 - Synthèse des données archéologiques des sites de la Moyenne vallée de l'Ogooué (Province du Moyen Ogoué et Ogoué Ivindo). Gabon - NSI, 3, 63-68.",NA,NA
Beta-54221,0.1167,9.7333,670,50,Recent Iron Age,"Ceramics, Coal, Coal",Gabon,Remboué 15,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-16941,-1.4333,9.1319,1080,90,Recent Iron Age,"Ceramics, Coal, Coal",Gabon,Batanga 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-46140,-1.4052,10.0713,1090,70,Recent Iron Age,"Ceramics, Coal, Coal",Gabon,Ofoubou 33,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Gif-6909,-0.1278,11.5889,2130,60,Ancient Iron Age,"Ceramics, Coal, Coal",Gabon,Mont Brazza Okanda 1,"1993 - Préhistoire de la moyenne vallée de l'Ogooué (Gabon) - TDM, 96, Paris éd. De l'ORSTOM.",NA,NA
Beta-53555,0.1167,9.7333,2180,100,Neolithic / Ancient Iron Age,"Ceramics, Coal, Coal",Gabon,Remboué 2,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Gif-8151,0.4833,9.5167,2210,40,Ancient Iron Age,"Ceramics, Coal, Iron, Palm nuts
Tuyères, Coquilles : Anadara senilis",Gabon,Oveng 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Lv-1517,0.1933,10.0883,800,60,Recent Iron Age,"Ceramics, Coal, Grindstones, Pit Features, Coal",Gabon,Kango 2,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Gif-6424,0.4833,9.5167,1650,70,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy de fer, Coquilles : Anadara senilis, Coquilles : Ostrea tulipa",Gabon,Oveng 1,"1985 - Recherches archéologiques récentes au Gabon: 1982-1985 - Nyame Akuma, 26, 14-16.",NA,NA
CRG-863,-4.25,14.4167,570,50,Recent Iron Age,"Ceramics, Coal, Iron Metallurgy, ",Congo,Tsabouka,"1990 - Paysages quaternaires de l'Afrique centrale atlantique - ORSTOM ed., Paris.",NA,NA
Tx-6189,-4.4333,11.7,1740,70,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy, ",Congo,Meningue,"1990 - Paysages quaternaires de l'Afrique centrale atlantique - ORSTOM ed., Paris.",NA,NA
Gif-8613,2.1583,12.1367,0,,Recent Iron Age,"Ceramics, Coal, Iron Metallurgy, Coal",Gabon,Elarmitang,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Gif-6426,0.5,9.3833,1150,60,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy, Coal",Gabon,Sablières,"1985 - Recherches archéologiques récentes au Gabon: 1982-1985 - Nyame Akuma, 26, 14-16.",NA,NA
Lv-1514,0.5738,12.8642,2150,70,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy, Coal",Gabon,Makokou,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-14835,-0.0675,11.085,1740,60,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy, Iron Metallurgy, Coal",Gabon,Otoumbi 1A,"1993 - Préhistoire de la moyenne vallée de l'Ogooué (Gabon) - TDM, 96, Paris éd. De l'ORSTOM.",NA,NA
Lv-1519,0.2008,10.0825,1900,70,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy, Iron Metallurgy, Pit Features, Coal",Gabon,Kango 5,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Lv-1395,3.8167,11.5,2120,150,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy, Palm Nuts, Coal",Cameroon,Obobogo,"1992 - Sédentarisation, agriculture et métallurgie du Sud-Cameroun: synthèse des recherches depuis 1978 - In: Essomba J.-M. Ed. ''L'archéologie au Cameroun : Actes du premier colloque international de Yaoundé (6-9 janvier 1986)'' Karthala, p. 247-162.",NA,NA
Gif-7196,-0.0625,11.1217,1630,50,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy, Pit Features, Coal",Gabon,Otoumbi 5,"1993 - Préhistoire de la moyenne vallée de l'Ogooué (Gabon) - TDM, 96, Paris éd. De l'ORSTOM.",NA,NA
Gif-7430,-0.0667,11.1167,1640,70,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy, Pit Features, Coal",Gabon,Otoumbi 8,"1993 - Préhistoire de la moyenne vallée de l'Ogooué (Gabon) - TDM, 96, Paris éd. De l'ORSTOM.",NA,NA
Gif-7197,-0.0625,11.1217,1700,50,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy, Pit Features, Coal",Gabon,Otoumbi 5,"1993 - Préhistoire de la moyenne vallée de l'Ogooué (Gabon) - TDM, 96, Paris éd. De l'ORSTOM.",NA,NA
Lv-1520,1.5664,11.5733,2220,75,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy, Pit Features, Coal",Gabon,Oyem 2,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Lv-1521,1.5664,11.5733,2280,55,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy, Pit Features, Coal",Gabon,Oyem 2,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Lv-1432,3.8167,11.5,2310,100,Ancient Iron Age,"Ceramics, Coal, Iron Metallurgy, Pit Features, Coal",Cameroon,Obobogo,"1992 - Sédentarisation, agriculture et métallurgie du Sud-Cameroun: synthèse des recherches depuis 1978 - In: Essomba J.-M. Ed. ''L'archéologie au Cameroun : Actes du premier colloque international de Yaoundé (6-9 janvier 1986)'' Karthala, p. 247-162",NA,NA
Beta-15061,1.3364,11.5153,350,70,Recent Iron Age,"Ceramics, Coal, Iron Metallurgy, Tuyères, Pit Features, Coal",Gabon,M'Bam,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-14829,0.5,9.3833,4400,70,LSA,"Ceramics, Coal, Lithics",Gabon,Sablieres,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Fran√ßais Saint-Exupery, ed. Sepia",1,1
Gif-5987,0.5,9.3833,4870,90,LSA,"Ceramics, Coal, Lithics",Gabon,Sablieres,"1985 - Recherches archeologiques recentes au Gabon: 1982-1985 - Nyame Akuma, 26, 14-16",1,1
Beta-20789,0.3222,9.3478,4810,80,Neolithic,"Ceramics, Coal, Lithics, Coal",Gabon,Rivière Denis 1,"2005 - Des premiers villages aux premiers européens autour de l'estuaire du Gabon. Quatre millénaire d'interactions entre l'homme et son milieu. - Thèse de Doctorat, Université Libre de Bruxelles",NA,NA
Beta-53552,0.1167,9.7333,1750,70,Ancient Iron Age,"Ceramics, Coal, Palm nuts, Coal",Gabon,Remboué 3,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Gif-8152,0.4906,9.4125,440,50,Recent Iron Age,"Ceramics, Coal, Palm nuts, Iron Metallurgy, Coal",Gabon,Okala 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-15060,1.6358,11.6122,140,80,Recent Iron Age,"Ceramics, Coal, Palm nuts, Pit Features, Coal",Gabon,Ndzomossi,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Gif-8966,0.4906,9.4125,1870,50,Neolithic,"Ceramics, Coal, Palm nuts, Pit Features, Coal",Gabon,Okala 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Gif-8612,0.4906,9.4125,2170,50,Neolithic,"Ceramics, Coal, Palm nuts, Pit Features, Coal",Gabon,Okala 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Gif-8611,0.4906,9.4125,2210,80,Neolithic,"Ceramics, Coal, Palm nuts, Pit Features, Coal",Gabon,Okala 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-53554,0.1167,9.7333,1650,50,Ancient Iron Age,"Ceramics, Coal, Palm nuts, Pit Features, Coal, Noix de palme",Gabon,Remboué 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-25546,0.4906,9.4125,2290,80,Neolithic,"Ceramics, Coal, Palm nuts, Pit Features, Coal, Noix de palme",Gabon,Okala 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-25548,0.4906,9.4125,2120,60,Neolithic,"Ceramics, Coal, Palm nuts, Pit Features, Noix de palme",Gabon,Okala 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-20788,0.4906,9.4125,2250,60,Neolithic,"Ceramics, Coal, Palm nuts, Pit Features, Noix de palme",Gabon,Okala 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-25549,0.4906,9.4125,2460,60,Neolithic,"Ceramics, Coal, Palm nuts, Pit Features, Noix de palme",Gabon,Okala 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-25582,0.4906,9.4125,2450,70,Neolithic,"Ceramics, Coal, Palm nuts, Pit Features, Palm nuts",Gabon,Okala 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Gif-6676,-1.5833,13.4167,80,50,Recent Iron Age,"Ceramics, Coal, Pit Features, Coal",Gabon,"Moanda Pk 21,5","1986 - recherches récentes sur le paléoenvironnement et l'archéologie au Gabon: 1982-1985 - L'Anthropologie, 90 (2), 201-216.",NA,NA
Beta-14826,1.9194,11.5914,140,90,Recent Iron Age / Histoire,"Ceramics, Coal, Pit Features, Coal",Gabon,85/22,"1986 - Métallurgie ancienne du fer au Gabon : Premiers élémnts de synthèse - Muntu, 4-5, 47-55.",NA,NA
Beta-9081,-1.5,13.3725,710,60,Recent Iron Age,"Ceramics, Coal, Pit Features, Coal",Gabon,Lébombi,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-9080,-1.5,13.3725,980,70,Recent Iron Age,"Ceramics, Coal, Pit Features, Coal",Gabon,Lébombi,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Gif-6121,-1.6319,13.3472,1230,70,Ancient Iron Age,"Ceramics, Coal, Pit Features, Coal",Gabon,Mikouloungou 4,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-54220,0.1167,9.7333,1360,70,Ancient Iron Age,"Ceramics, Coal, Pit Features, Coal",Gabon,Remboué 2,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-16320,-0.875,9.15,1440,110,Ancient Iron Age,"Ceramics, Coal, Pit Features, Coal",Gabon,Mbilapé 4,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Hv-12845,3.9141,11.504,1645,90,Ancient Iron Age,"Ceramics, Coal, Pit Features, Coal",Cameroon,Ndindan,"1992 - Ndindan: archaeological synthesis of a site dating back to three millenia ago in Yaounde (Cameroon) - L'Anthropologie,106: 159-172.",NA,NA
Gif-6675,-1.6167,13.4667,1850,70,Ancient Iron Age,"Ceramics, Coal, Pit Features, Coal",Gabon,"Moanda Pk 28,5 Lébombi","1985 - Recherches archéologiques récentes au Gabon: 1982-1985 - Nyame Akuma, 26, 14-16.",NA,NA
Beta-15068,-0.0625,11.1217,1900,90,Ancient Iron Age,"Ceramics, Coal, Pit Features, Coal",Gabon,Otoumbi 5,"1993 - Préhistoire de la moyenne vallée de l'Ogooué (Gabon) - TDM, 96, Paris éd. De l'ORSTOM.",NA,NA
Gif-6906,0.2008,10.0825,2270,60,Neolithic,"Ceramics, Coal, Pit Features, Coal",Gabon,Kango 5,"1986 - Métallurgie ancienne du fer au Gabon : Premiers élémnts de synthèse - Muntu, 4-5, 47-55.",NA,NA
Lv-1515,0.1667,10.75,2370,55,Neolithic,"Ceramics, Coal, Pit Features, Coal",Gabon,Ndjolé Pk 5,"1993 - Préhistoire de la moyenne vallée de l'Ogooué (Gabon) - TDM, 96, Paris éd. De l'ORSTOM.",NA,NA
Beta-9079,-1.5,13.3725,590,60,Recent Iron Age,"Ceramics, Coal, Pit Features, Noix de palme",Gabon,Lébombi,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Beta-17060,0.2008,10.0825,2320,70,Neolithic,"Ceramics, Coal, Wheels, Pit Features, Palm Nuts, Coal, Noix de palme",Gabon,Kango 5,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Tx-5957,-4.4333,11.7,1720,80,Ancient Iron Age,"Ceramics, Copper objects, Iron Metallurgy, Noix de palme",Congo,Madingo-Kayes,"1990 - Paysages quaternaires de l'Afrique centrale atlantique - ORSTOM ed., Paris.",NA,NA
Tx-5958,-4.4333,11.7,1810,60,Ancient Iron Age,"Ceramics, Copper objects, Iron Metallurgy, Noix de palme",Congo,Madingo-Kayes,"1990 - Paysages quaternaires de l'Afrique centrale atlantique - ORSTOM ed., Paris.",NA,NA
